# Energy	Effective Area
0.030	1.282710e-07
0.090	2.182143e-07
0.150	2.326039e-42
0.210	3.955026e-22
0.270	2.764610e-13
0.330	1.044832e-08
0.390	3.629430e-06
0.450	1.611898e-04
0.510	1.855951e-03
0.570	9.385467e-03
0.630	2.809618e-02
0.690	6.151014e-02
0.750	1.121251e-01
0.810	1.753609e-01
0.870	2.449391e-01
0.930	3.158586e-01
0.990	3.854468e-01
1.050	4.496784e-01
1.110	5.081263e-01
1.170	5.599894e-01
1.230	6.063083e-01
1.290	6.480890e-01
1.350	6.850115e-01
1.410	7.171158e-01
1.470	7.454605e-01
1.530	7.686477e-01
1.590	7.230274e-01
1.650	7.460456e-01
1.710	7.667506e-01
1.770	7.857058e-01
1.830	8.028033e-01
1.890	8.180317e-01
1.950	8.318401e-01
2.010	8.445866e-01
2.070	8.561772e-01
2.130	8.665734e-01
2.190	8.760556e-01
2.250	8.848505e-01
2.310	8.928811e-01
2.370	9.002220e-01
2.430	9.068409e-01
2.490	9.129106e-01
2.550	9.185714e-01
2.610	9.237696e-01
2.670	9.284780e-01
2.730	9.328153e-01
2.790	9.368791e-01
2.850	9.406281e-01
2.910	9.440392e-01
2.970	9.471957e-01
3.030	9.501664e-01
3.090	9.529197e-01
3.150	9.554368e-01
3.210	9.577777e-01
3.270	9.599921e-01
3.330	9.620551e-01
3.390	9.639506e-01
3.450	9.657219e-01
3.510	9.674054e-01
3.570	9.689809e-01
3.630	9.704570e-01
3.690	9.718206e-01
3.750	9.731016e-01
3.810	9.743253e-01
3.870	9.754762e-01
3.930	9.765435e-01
3.990	9.775498e-01
4.050	9.785144e-01
4.110	9.794248e-01
4.170	9.802718e-01
4.230	9.810728e-01
4.290	9.818430e-01
4.350	9.825719e-01
4.410	9.832520e-01
4.470	9.838969e-01
4.530	9.845185e-01
4.590	9.851085e-01
4.650	9.856602e-01
4.710	9.861847e-01
4.770	9.866916e-01
4.830	9.871738e-01
4.890	9.876327e-01
4.950	9.880631e-01
5.010	9.884735e-01
5.070	9.888711e-01
5.130	9.892504e-01
5.190	9.896069e-01
5.250	9.899475e-01
5.310	9.902781e-01
5.370	9.905942e-01
5.430	9.908919e-01
5.490	9.911768e-01
5.550	9.914540e-01
5.610	9.917194e-01
5.670	9.919698e-01
5.730	9.922100e-01
5.790	9.924439e-01
5.850	9.926684e-01
5.910	9.928805e-01
5.970	9.930842e-01
6.030	9.932830e-01
6.090	9.934740e-01
6.150	9.936574e-01
6.210	9.938310e-01
6.270	9.939980e-01
6.330	9.941611e-01
6.390	9.943178e-01
6.450	9.944662e-01
6.510	9.946087e-01
6.570	9.947478e-01
6.630	9.948811e-01
6.690	9.950069e-01
6.750	9.951273e-01
6.810	9.952440e-01
6.870	9.953550e-01
6.930	9.954586e-01
6.990	9.955563e-01
7.050	9.956495e-01
7.110	9.957361e-01
7.170	9.958145e-01
7.230	9.958858e-01
7.290	9.959504e-01
7.350	9.960065e-01
7.410	9.960533e-01
7.470	9.960896e-01
7.530	9.961154e-01
7.590	9.961298e-01
7.650	9.961314e-01
7.710	9.961194e-01
7.770	9.960926e-01
7.830	9.960491e-01
7.890	9.959877e-01
7.950	9.959084e-01
8.010	9.958089e-01
8.070	9.956857e-01
8.130	9.955383e-01
8.190	9.953682e-01
8.250	9.951712e-01
8.310	9.949420e-01
8.370	9.946816e-01
8.430	9.943881e-01
8.490	9.940650e-01
8.550	9.937060e-01
8.610	9.933028e-01
8.670	9.928587e-01
8.730	9.923800e-01
8.790	9.918577e-01
8.850	9.912811e-01
8.910	9.906560e-01
8.970	9.899918e-01
9.030	9.892768e-01
9.090	9.884973e-01
9.150	9.876624e-01
9.210	9.867849e-01
9.270	9.858503e-01
9.330	9.848414e-01
9.390	9.837710e-01
9.450	9.826562e-01
9.510	9.814790e-01
9.570	9.802186e-01
9.630	9.788919e-01
9.690	9.774981e-01
9.750	9.760597e-01
9.810	9.745543e-01
9.870	9.729561e-01
9.930	9.712879e-01
9.990	9.695770e-01
10.050	9.677971e-01
10.140	9.649434e-01
10.260	9.609333e-01
10.380	9.566412e-01
10.500	9.520700e-01
10.620	9.472210e-01
10.740	9.420997e-01
10.860	9.367099e-01
10.980	9.310592e-01
11.100	9.251537e-01
11.220	9.190029e-01
11.340	9.126144e-01
11.460	9.059991e-01
11.580	8.991661e-01
11.700	8.921270e-01
11.820	8.848920e-01
11.940	8.774734e-01
12.060	8.698817e-01
12.180	8.620677e-01
12.300	8.541653e-01
12.420	8.461251e-01
12.540	8.379596e-01
12.660	8.296796e-01
12.780	8.212971e-01
12.900	8.128226e-01
13.020	8.042676e-01
13.140	7.956423e-01
13.260	7.869572e-01
13.380	7.782222e-01
13.500	7.694470e-01
13.620	7.606408e-01
13.740	7.518125e-01
13.860	7.429707e-01
13.980	7.341234e-01
14.100	7.252784e-01
14.220	7.164431e-01
14.340	7.076244e-01
14.460	6.988289e-01
14.580	6.900630e-01
14.700	6.812638e-01
14.820	6.725742e-01
14.940	6.639307e-01
15.060	6.553378e-01
15.180	6.468003e-01
15.300	6.383221e-01
15.420	6.299073e-01
15.540	6.215593e-01
15.660	6.132816e-01
15.780	6.050769e-01
15.900	5.969484e-01
16.020	5.888981e-01
16.140	5.809286e-01
16.260	5.730416e-01
16.380	5.652394e-01
16.500	5.575231e-01
16.620	5.498946e-01
16.740	5.423545e-01
16.860	5.349045e-01
16.980	5.275450e-01
17.100	5.202772e-01
17.220	5.130451e-01
17.340	5.059622e-01
17.460	4.989724e-01
17.580	4.920753e-01
17.700	4.852715e-01
17.820	4.785605e-01
17.940	4.719428e-01
18.060	4.654175e-01
18.180	4.589849e-01
18.300	4.526442e-01
18.420	4.463954e-01
18.540	4.402375e-01
18.660	4.341704e-01
18.780	4.281930e-01
18.900	4.223051e-01
19.020	4.165055e-01
19.140	4.107939e-01
19.260	4.051691e-01
19.380	3.996307e-01
19.500	3.941348e-01
19.620	3.887664e-01
19.740	3.834817e-01
19.860	3.782793e-01
19.980	3.731586e-01
20.100	3.681186e-01
20.220	3.631585e-01
20.340	3.582766e-01
20.460	3.534724e-01
20.580	3.487444e-01
20.700	3.440920e-01
20.820	3.395137e-01
20.940	3.350088e-01
21.060	3.305760e-01
21.180	3.262144e-01
21.300	3.219228e-01
21.420	3.177005e-01
21.540	3.135459e-01
21.660	3.094585e-01
21.780	3.054368e-01
21.900	3.014801e-01
22.020	2.975569e-01
22.140	2.937273e-01
22.260	2.899597e-01
22.380	2.862528e-01
22.500	2.826059e-01
22.620	2.790177e-01
22.740	2.754876e-01
22.860	2.720142e-01
22.980	2.685970e-01
23.100	2.652347e-01
23.220	2.619267e-01
23.340	2.586717e-01
23.460	2.554692e-01
23.580	2.523181e-01
23.700	2.492175e-01
23.820	2.461666e-01
23.940	2.431646e-01
24.060	2.402105e-01
24.180	2.373036e-01
24.300	2.344430e-01
24.420	2.316281e-01
24.540	2.288362e-01
24.660	2.261102e-01
24.780	2.234275e-01
24.900	2.207872e-01
25.020	2.181887e-01
25.140	2.156311e-01
25.260	2.131138e-01
25.380	2.106360e-01
25.500	2.081972e-01
25.620	2.057964e-01
25.740	2.034333e-01
