# Energy	Effective Area
0.030	1.127258e-07
0.090	1.875809e-07
0.150	1.948651e-42
0.210	3.562954e-22
0.270	2.588138e-13
0.330	9.995403e-09
0.390	3.515133e-06
0.450	1.574163e-04
0.510	1.822808e-03
0.570	9.255509e-03
0.630	2.778806e-02
0.690	6.096847e-02
0.750	1.113236e-01
0.810	1.743287e-01
0.870	2.437329e-01
0.930	3.145231e-01
0.990	3.840191e-01
1.050	4.482432e-01
1.110	5.067278e-01
1.170	5.586470e-01
1.230	6.050337e-01
1.290	6.468891e-01
1.350	6.838881e-01
1.410	7.160667e-01
1.470	7.444829e-01
1.530	7.677425e-01
1.590	7.222606e-01
1.650	7.453289e-01
1.710	7.660811e-01
1.770	7.850811e-01
1.830	8.003856e-01
1.890	8.122497e-01
1.950	8.262527e-01
2.010	8.392129e-01
2.070	8.510353e-01
2.130	8.616709e-01
2.190	8.713972e-01
2.250	8.804397e-01
2.310	8.887134e-01
2.370	8.962899e-01
2.430	9.031314e-01
2.490	9.094128e-01
2.550	9.152771e-01
2.610	9.206665e-01
2.670	9.255511e-01
2.730	9.300529e-01
2.790	9.342721e-01
2.850	9.381651e-01
2.910	9.417076e-01
2.970	9.449856e-01
3.030	9.480702e-01
3.090	9.509287e-01
3.150	9.535419e-01
3.210	9.559720e-01
3.270	9.582708e-01
3.330	9.604126e-01
3.390	9.623806e-01
3.450	9.642200e-01
3.510	9.659684e-01
3.570	9.676051e-01
3.630	9.691389e-01
3.690	9.705562e-01
3.750	9.718879e-01
3.810	9.731605e-01
3.870	9.743578e-01
3.930	9.754685e-01
3.990	9.765160e-01
4.050	9.775207e-01
4.110	9.784692e-01
4.170	9.793519e-01
4.230	9.801870e-01
4.290	9.809901e-01
4.350	9.817505e-01
4.410	9.824601e-01
4.470	9.831332e-01
4.530	9.837821e-01
4.590	9.843982e-01
4.650	9.849745e-01
4.710	9.855224e-01
4.770	9.860520e-01
4.830	9.865559e-01
4.890	9.870356e-01
4.950	9.874856e-01
5.010	9.879146e-01
5.070	9.883304e-01
5.130	9.887271e-01
5.190	9.891000e-01
5.250	9.894563e-01
5.310	9.898023e-01
5.370	9.901331e-01
5.430	9.904446e-01
5.490	9.907429e-01
5.550	9.910330e-01
5.610	9.913110e-01
5.670	9.915732e-01
5.730	9.918247e-01
5.790	9.920698e-01
5.850	9.923050e-01
5.910	9.925272e-01
5.970	9.927407e-01
6.030	9.929490e-01
6.090	9.931492e-01
6.150	9.933415e-01
6.210	9.935236e-01
6.270	9.936987e-01
6.330	9.938698e-01
6.390	9.940342e-01
6.450	9.941899e-01
6.510	9.943395e-01
6.570	9.944855e-01
6.630	9.946255e-01
6.690	9.947577e-01
6.750	9.948842e-01
6.810	9.950070e-01
6.870	9.951239e-01
6.930	9.952331e-01
6.990	9.953363e-01
7.050	9.954347e-01
7.110	9.955265e-01
7.170	9.956099e-01
7.230	9.956859e-01
7.290	9.957552e-01
7.350	9.958158e-01
7.410	9.958670e-01
7.470	9.959076e-01
7.530	9.959374e-01
7.590	9.959559e-01
7.650	9.959615e-01
7.710	9.959532e-01
7.770	9.959300e-01
7.830	9.958900e-01
7.890	9.958321e-01
7.950	9.957562e-01
8.010	9.956600e-01
8.070	9.955399e-01
8.130	9.953957e-01
8.190	9.952286e-01
8.250	9.950345e-01
8.310	9.948082e-01
8.370	9.945506e-01
8.430	9.942598e-01
8.490	9.939394e-01
8.550	9.935829e-01
8.610	9.931822e-01
8.670	9.927406e-01
8.730	9.922643e-01
8.790	9.917443e-01
8.850	9.911700e-01
8.910	9.905471e-01
8.970	9.898850e-01
9.030	9.891722e-01
9.090	9.883948e-01
9.150	9.875619e-01
9.210	9.866863e-01
9.270	9.857537e-01
9.330	9.847467e-01
9.390	9.836782e-01
9.450	9.825651e-01
9.510	9.813897e-01
9.570	9.801310e-01
9.630	9.788061e-01
9.690	9.774139e-01
9.750	9.759771e-01
9.810	9.744732e-01
9.870	9.728767e-01
9.930	9.712100e-01
9.990	9.695006e-01
10.050	9.677221e-01
10.110	9.658449e-01
10.170	9.638962e-01
10.230	9.619084e-01
10.290	9.598508e-01
10.350	9.576899e-01
10.410	9.554577e-01
10.470	9.531913e-01
10.530	9.508560e-01
10.590	9.484143e-01
10.650	9.459028e-01
10.710	9.433633e-01
10.770	9.407572e-01
10.830	9.380427e-01
10.890	9.352613e-01
10.950	9.324139e-01
11.010	9.295476e-01
11.070	9.266189e-01
11.130	9.235813e-01
11.190	9.204818e-01
11.250	9.173714e-01
11.310	9.142030e-01
11.370	9.109265e-01
11.430	9.075928e-01
11.490	9.042568e-01
11.550	9.008678e-01
11.610	8.973723e-01
11.670	8.938250e-01
11.730	8.902842e-01
11.790	8.866956e-01
11.850	8.830031e-01
11.910	8.792645e-01
11.970	8.755410e-01
12.030	8.717754e-01
12.090	8.679089e-01
12.150	8.640023e-01
12.210	8.600570e-01
12.270	8.561372e-01
12.330	8.521828e-01
12.390	8.481317e-01
12.450	8.440479e-01
12.510	8.399976e-01
12.570	8.359183e-01
12.630	8.317463e-01
