# Energy	Effective Area
0.030	1.282710e-07
0.090	2.487284e-07
0.150	8.287291e-42
0.210	4.255570e-22
0.270	2.277640e-13
0.330	1.011931e-08
0.390	3.782772e-06
0.450	1.610333e-04
0.510	1.865406e-03
0.570	9.353391e-03
0.630	2.804387e-02
0.690	6.198544e-02
0.750	1.126077e-01
0.810	1.747743e-01
0.870	2.453041e-01
0.930	3.171777e-01
0.990	3.855488e-01
1.050	4.496244e-01
1.110	5.079705e-01
1.170	5.597639e-01
1.230	6.067045e-01
1.290	6.483663e-01
1.350	6.846648e-01
1.410	7.167555e-01
1.470	7.455067e-01
1.530	7.708995e-01
1.590	7.226022e-01
1.650	7.459497e-01
1.710	7.669434e-01
1.770	7.855726e-01
1.830	8.026436e-01
1.890	8.180850e-01
1.950	8.318726e-01
2.010	8.445869e-01
2.070	8.561561e-01
2.130	8.665372e-01
2.190	8.761464e-01
2.250	8.849170e-01
2.310	8.928110e-01
2.370	9.001411e-01
2.430	9.068533e-01
2.490	9.129147e-01
2.550	9.185622e-01
2.610	9.237514e-01
2.670	9.284537e-01
2.730	9.328499e-01
2.790	9.369033e-01
2.850	9.405889e-01
2.910	9.440465e-01
2.970	9.472452e-01
3.030	9.501635e-01
3.090	9.529107e-01
3.150	9.554616e-01
3.210	9.577979e-01
3.270	9.600059e-01
3.330	9.620640e-01
3.390	9.639559e-01
3.450	9.657247e-01
3.510	9.674041e-01
3.570	9.689767e-01
3.630	9.704286e-01
3.690	9.718116e-01
3.750	9.731105e-01
3.810	9.743134e-01
3.870	9.754625e-01
3.930	9.765447e-01
3.990	9.775496e-01
4.050	9.785121e-01
4.110	9.794209e-01
4.170	9.802667e-01
4.230	9.810787e-01
4.290	9.818470e-01
4.350	9.825636e-01
4.410	9.832530e-01
4.470	9.839065e-01
4.530	9.845174e-01
4.590	9.851061e-01
4.650	9.856653e-01
4.710	9.861889e-01
4.770	9.866944e-01
4.830	9.871755e-01
4.890	9.876267e-01
4.950	9.880631e-01
5.010	9.884790e-01
5.070	9.888697e-01
5.130	9.892482e-01
5.190	9.896096e-01
5.250	9.899496e-01
5.310	9.902794e-01
5.370	9.905948e-01
5.430	9.908920e-01
5.490	9.911765e-01
5.550	9.914531e-01
5.610	9.917180e-01
5.670	9.919681e-01
5.730	9.922115e-01
5.790	9.924450e-01
5.850	9.926656e-01
5.910	9.928807e-01
5.970	9.930871e-01
6.030	9.932825e-01
6.090	9.934730e-01
6.150	9.936562e-01
6.210	9.938296e-01
6.270	9.939988e-01
6.330	9.941615e-01
6.390	9.943156e-01
6.450	9.944660e-01
6.510	9.946105e-01
6.570	9.947472e-01
6.630	9.948802e-01
6.690	9.950078e-01
6.750	9.951279e-01
6.810	9.952443e-01
6.870	9.953551e-01
6.930	9.954585e-01
6.990	9.955576e-01
7.050	9.956505e-01
7.110	9.957356e-01
7.170	9.958151e-01
7.230	9.958873e-01
7.290	9.959506e-01
7.350	9.960065e-01
7.410	9.960533e-01
7.470	9.960895e-01
7.530	9.961153e-01
7.590	9.961298e-01
7.650	9.961315e-01
7.710	9.961196e-01
7.770	9.960924e-01
7.830	9.960490e-01
7.890	9.959888e-01
7.950	9.959085e-01
8.010	9.958076e-01
8.070	9.956864e-01
8.130	9.955395e-01
8.190	9.953670e-01
8.250	9.951702e-01
8.310	9.949414e-01
8.370	9.946816e-01
8.430	9.943934e-01
8.490	9.940661e-01
8.550	9.937022e-01
8.610	9.933058e-01
8.670	9.928629e-01
8.730	9.923777e-01
8.790	9.918562e-01
8.850	9.912806e-01
8.910	9.906570e-01
8.970	9.899937e-01
9.030	9.892688e-01
9.090	9.884907e-01
9.150	9.876700e-01
9.210	9.867803e-01
9.270	9.858326e-01
9.330	9.848403e-01
9.390	9.837721e-01
9.450	9.826417e-01
9.510	9.814656e-01
9.570	9.802265e-01
9.630	9.789031e-01
9.690	9.775131e-01
9.750	9.760774e-01
9.810	9.745517e-01
9.870	9.729572e-01
9.930	9.713181e-01
9.990	9.695842e-01
10.260	9.609439e-01
10.380	9.566606e-01
10.500	9.520635e-01
10.620	9.472239e-01
10.740	9.421116e-01
10.860	9.366913e-01
10.980	9.310503e-01
11.100	9.251554e-01
11.220	9.189687e-01
11.340	9.125913e-01
11.460	9.059869e-01
11.580	8.991666e-01
11.700	8.921401e-01
11.820	8.848640e-01
11.940	8.774583e-01
12.060	8.698803e-01
12.180	8.620834e-01
12.300	8.541957e-01
12.420	8.461708e-01
12.540	8.379590e-01
12.660	8.296945e-01
12.780	8.213272e-01
12.900	8.128048e-01
13.020	8.042652e-01
13.140	7.956556e-01
13.260	7.869211e-01
13.380	7.782019e-01
13.500	7.694425e-01
13.620	7.606524e-01
13.740	7.518402e-01
13.860	7.429480e-01
13.980	7.341168e-01
14.100	7.252879e-01
14.220	7.164024e-01
